wallet,initial_usd,final_usd,cumulative_roi,avg_daily_roi,volatility,positive_days,max_drawdown,sharpe_ratio,sortino_ratio,avg_recovery_time_days
8h5CyobUGigqr8Ns3oX8gXD3wk2si5JucBoqi6FAX1k9,258.96531815856,30703.60261862112,11756.260458715877,100.04560709032744,876.4790744466837,75.0,-32.97091717750791,0.1141448894869346,4.783629205492605,
G76imCPLo9PTu2ypRvjnFQ8P4n43BeKagEbebuRa9zPY,256.59953062848,25292.0784610896,9756.63473317454,115.49555734391102,1013.4548921901048,74.0,-49.36140662211383,0.1139622081199113,4.157759345168743,5.333333333333333
Ccb8CM8s7gNgp3rcMamBcSrv5ftjYU5mNU2XYKRfuzy1,41.9365278384,2101.2175601913605,4910.470986745211,64.81628094232744,572.6922501561037,76.0,-11.542127697740186,0.1131782050912334,,
9jeP3f1mKanTpJYuqwY3EjasUAjC7Rei44aRaJoaELNu,1216.85396817504,60094.13610719088,4838.483801578609,28.944896652621665,243.13969381203648,75.0,-1.837126772156883,0.119046364658985,23.89745829280871,8.5
DGpGRkvzY1gEX1VrPEPTzj3Dw7k1LuBqC8sUcS8MNeYg,2591.2151845632,68035.16650615056,2525.608514162023,28.73840750035806,252.42574591537067,75.0,-1.551687602725292,0.1138489554468545,26.49035422201413,7.0
4phZ1xEgcSAEezKa7DzB2AfmiQGei9qfXGea65ETNfUe,260.08733108592,6505.789165312321,2401.386414382148,7.924762026448696,44.27298311523352,68.0,-7.432791552815192,0.1789976972146232,5.907002954869993,1.375
ENDA9v65gmYJfyCK8xqtiDpuQc9DxvDD67JFwxjvek2M,1875.14014262016,43786.14197730096,2235.0863747238623,118.02508378871448,1044.2387168474556,75.0,-85.9095681528761,0.1130250026976885,2.634956381863044,5.0
CtcaGNAQd7jsYQMvP2osV2ZtnUPEpPZPkVWiWZtVpdsD,79.98461438448,1758.46421023728,2098.503079335328,24.83231840394439,215.0547642882001,75.0,-31.526423519690777,0.1154697431890697,493.09302556115193,1.5
AyxnmzjBJYoaMv1YV55CvNBBENKnxNuSyBx9aFDUxBot,272.10646479744,5916.64417915056,2074.3857440340475,25.367895310880733,222.9907364462533,64.0,-8.756990616470524,0.1137621038217212,13.437141816527278,1.6666666666666667
CNbJfAUQv3miNfNHqR78teTTynEmFmLrfRr8e4DoC5oU,271.1877878736,4683.24717041712,1626.938815032472,18.98619710172231,166.42448458933808,73.0,-5.882453265181911,0.1140829556935197,283.5709389203201,1.5
CerkGbQgv3hMGxjre5NzDbEERTXSiRC9RNrM1aWSkbJH,511.23934271904,8172.14208688176,1498.4963213938129,18.054010642004297,158.67490727269433,72.0,-5.558101902737984,0.1137798720183095,105.9307102445922,8.0
BtboY5qxuLKGu3srPwZX7zhvQeQkPkcaZWBzsFraYQmR,32.02356852864,432.07042657152,1249.2263555359284,41.08331696429673,218.9621059987914,75.0,-91.82693243319918,0.1876275201907469,3223.563109966381,2.0
6Rn8ymozK7x2WSoH1zVb4vkqqe6s2CPZ6TPH93Q16QZ5,270.02642189328003,3402.273585139681,1159.978027811045,14.72564086642164,128.69187740632853,65.0,-15.070721830967896,0.1144255656472185,5.060135367519227,1.5454545454545454
9b2AcozQahF8Vm78qMtCYEXraiDkAjEP6JXQ7n7LErmi,26900.075963517123,328279.6110163906,1120.3668549546685,13.266177657571324,116.24499156554944,70.0,-1.527266134347192,0.1141225740473357,25.8059745782616,3.571428571428572
5FCpqjTYHjP8wQFNTM7heWwHwCKufMwKczbJhAUXAudr,3063.6554277888004,36909.06506838672,1104.7394342589605,6.551520242468669,41.77083566844366,68.0,-16.382156114139683,0.1568443661139894,1.5758997596293889,2.0
9qySFinzmyofWahb16y98JkPyEvdxZg4tdMFp2pM5WEi,1277.4478439424,14821.997392759682,1060.2820000084484,17.998579030565185,159.74063739358374,66.0,-32.62372998363184,0.1126737649494826,2.1759009288367834,22.0
EAHuJzQGMi8DCHMB1mGRg8HaF5N8sqyEbnmvB3DCp3LG,14637.51983527392,164938.39054931328,1026.8192453740692,5.982066034773106,37.52588405977843,70.0,-3.5146268995761925,0.1594117283218091,4.822419748644278,7.8
DrXUUhmocEeeY8gXzvXGWw4fMYGPoj769tZf6Fs9wQaq,3456.21677509056,31233.116756632324,803.6793346335735,3.4327564906817987,12.709951407967642,70.0,-4.488705271346029,0.2700841553595448,2.308644978277236,1.8
4u6yHgn1n7qAwTqRCwrPvU9eA4uBHHznauLAgznBVGNa,1319.1290293896002,11882.049620720642,800.7496125090064,8.222897135540356,68.22116361037637,70.0,-19.57701774260136,0.1205329358276976,0.8957349183576514,2.571428571428572
7GgijQFLUxFs4L8V43Za3Q8SH9eC7eHdFcuS1Qig1VSe,18855.67351765968,162095.36420668563,759.6636129431906,10.845217051448364,96.83679745254146,61.0,-14.814793610520136,0.1119947926485639,3.5338043073775403,8.5
G2kwWLy1ddSySMyUAWPxGVLRSVWHbEdDe4ZqnWQFf4sf,16443.0639718488,137645.336788716,737.1027262581382,9.22865876619196,76.77923763517535,70.0,-46.48509645778604,0.1201973222245693,0.5302132937741121,
4EbRCwPuA1gyXSj5mmy4CA8gVdfoAAUhfpMMDSf5hY9w,7568.8423551,56864.86505955025,651.3020141215367,5.791834352766169,42.16348545246478,72.0,-52.007708222973456,0.1373661188256339,0.3205080824268168,14.0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,11195.6649970152,83919.16036799282,649.5683408744898,6.444851827378023,53.80419842604095,73.0,-1.5863412587726733,0.1197834372764997,9.19723353344029,4.25
64W4gYS9Ch7GrAaMJbMhaM4ZRBQhtiuRh9QpJ2nzRGsS,265.83682570848,1972.1013005544005,641.846542629512,5.614693522599392,33.53909606043268,72.0,-42.4493992271596,0.1674074194630205,0.4733928593958509,2.0
DvFSmqka3bUv17onKk4ovbFvy3USMYqvVXxyyj839n4Q,270.29647764288006,1781.4609385204803,559.0766383845277,8.29601401403292,72.99317914555289,68.0,-21.65371654378636,0.1136546470662712,3.3317354980193064,
DhPzmKs3KH5oFjPnV1oJZqYMUVADjromEVDQ73GjbFjp,52.91913627936,339.64629385824,541.821310282254,21.672350847062145,109.03175153331482,74.0,-82.781941649579,0.1987710051639419,1561.398406152411,1.3333333333333333
E1NZjorbyxVLDP7ztXHaVmu9uaXAvyNSBNkGNdvyuPJ1,53.53374045552,341.76956504640003,538.418989852519,6.285601976475664,54.42749296971582,77.0,0.0,0.1154857891391958,,
5LpivxTjQrWHftTthAfNUUpBdb6o38rzfydooq5sSnnd,65719.0198597608,398572.4043306725,506.47953238072415,10.956427530303118,74.68062064259969,69.0,-82.3396692807354,0.1467104509312726,0.3779212714664373,5.75
C8qXqbTzQ8adhiMxqJhj1nSX4vQXL9qaJuG1E3bSG1Nz,6679.718660428321,34946.75309434801,423.17702093320105,13.766794616858894,128.98308371282445,74.0,-51.42496172256544,0.1067333344852422,0.5492180016926294,0.0
B1W9J4jhzA6jteq5iEEXd2LPBXbKEP3APQCNdaUMu3gL,199.32607762704,1016.85925512816,410.14863044202895,4.787929719822851,41.19656493319714,77.0,0.0,0.116221576424801,,
2cXEYfR4yX7ggZ1JVYYYLcYG5N3RqjCVLEQseb7aasMw,1346.8333583952,6751.064425889761,401.25461949753713,5.120221443632228,42.76849507889235,71.0,-21.72641664880972,0.1197194671962919,0.8111592175929364,1.4
hSxApgSC6ScKwpshYp577QeRmANnFWE2GMWs3sHb2rk,1563.00589700736,7599.335729713441,386.20006771974806,3.6467210238980727,26.00900897556405,70.0,-16.68137195061998,0.1402099183142362,0.6075178313682262,4.8
DDWDVPLueG7nFSLxUaBgVu6uNmSogrGjipFWuLvepQCk,5037.73855483392,24493.27981304832,386.1959299087881,4.588073566425424,39.634899375337454,75.0,-1.7940205439406522,0.115758426001715,3.824286404663822,8.0
EngzRpnnhTYh553ZFfCU2u8BpD2iNfh67AUgSQo3qSYD,299.70075318144006,1409.9288671766403,370.4455535095247,15.159467698102125,109.02607811294004,75.0,-89.59610899173992,0.1390444191012579,0.2925663904786671,2.0
A35ADYCA7uoUrGf4apk64Znv5Cgvtqo7BqRMyTzHPTFE,2594.5252309704,11617.01832724896,347.75121816425656,5.003307319964033,44.85475930447291,69.0,-19.229042526801685,0.1115446253094731,1.1464054639679868,10.25
BkDyUXLKKgMFrJ3aZD8gE58s1fiXTZN7QcRfeGYAF3rW,1272162.3383026146,5557956.573277493,336.8905135718141,5.1934498191147975,36.87051044398548,66.0,-65.37142357745927,0.1408564664979294,0.2659313384843869,3.625
7HkqVEG6s1NwiuxR3szrLcHsLdMiBhETb9FQkvWM5eaL,257.4739566984,1120.0586155161602,335.01821694074295,6.626815224207205,40.50454999485452,74.0,-66.24376730900052,0.1636066867808441,0.3452977234132381,1.6666666666666667
EurRJN4EAvhN9oFCwbVHjAXr5k5LgJDqmfHBMHqpS14S,50585.61718994784,219860.0578636028,334.6295846070895,6.057949681615214,54.54879347031402,70.0,-34.29094596238815,0.1110556127132675,0.3964094195834732,5.666666666666667
7DsEDukByTQdisJt9FqS8yvKfuagD6no927xqLZ5ToPL,3146.1672690926403,13497.701901536642,329.0204794301799,3.9095458605144,33.63835749697708,75.0,-1.9427771353408905,0.116222852464355,14.73136845281345,13.0
G1fjN9uBnJHcWdBVS1HVFDXx6aVkugvftKHpwYcyzc92,266.07045316800003,1137.27722342448,327.4346173666979,6.043684622808231,39.91313239072475,71.0,-50.35390260819248,0.1514209549790359,0.4474040471432179,1.5
C9UW68VpotwkBasKXxry3uwtyACFn2DUAViq78WExT3Z,11327.28571519584,48281.353208124965,326.23938710537084,3.8883646733302393,33.30486819461356,65.0,-13.68535103450368,0.1167506398947139,1.4313124372916075,
8mzKgFjUfuEU2objNA2xZafjW7GSfqajfiDu72VKy4aB,1271.93187802512,5407.7716913001605,325.1620534659923,4.104718920034619,34.35276005291447,67.0,-23.19320413698432,0.1194873108801742,0.5599852047033743,1.3333333333333333
BabSuF6mAV4CsXPnSozAkw6dmP3obs7PWx6CxrUzFU9r,20012.29287645744,83826.25243739712,318.8738039907998,2.2713754959361703,10.935831275672498,67.0,-8.206663541992345,0.2077003054161049,0.8924307604520613,1.4
6k2mtcD3iSr41PX8j31qQAYs8iCZTZZyoqBAUcAoeHmJ,1350.80183616144,5636.396047160641,317.26298382726003,3.01415119044485,16.142152835416844,67.0,-60.36537548927119,0.1867254771514504,0.175405399466887,6.428571428571429
A9c22C9cnfTU2Qe9MegXQDQhDPibPcNdrgDdhevDdPC7,122.66361932448,500.4620847974401,307.9955308293784,3.727322023296644,31.13128307729541,76.0,-26.87297180799136,0.1197291487807337,,1.0
7TM2ivZ1rXX3Tixyq9wuo9ZsPPWsuT41JHSo7m1K25jn,185.63278477536,742.8809425104001,300.188438378158,8.400961921910724,52.6779312801217,75.0,-72.44009392705412,0.1594778253010264,213.79289045892688,2.0
7imoeChh683TpmPAjkpDpJFh5bCJe2tR4fo6hP5oDu2x,395.60241120816,1574.88386381328,298.09764025543313,3.601981090559791,24.559926466469005,69.0,-32.836870800870926,0.1466609069647451,0.3234304699392755,1.375
