timestamp,epoch,equity,realized_pnl,unrealized_pnl,drawdown_pct,open_hedges
2026-04-11T13:23:32.887430+00:00,1775913812.88744,6.994252909866,0,0.0,0.0,0
2026-04-11T13:23:49.431562+00:00,1775913829.431572,6.994252030516,0,0.0,1.257246501176295e-07,2
2026-04-11T13:24:04.854115+00:00,1775913844.854124,6.994252030516,0,0.0,1.257246501176295e-07,2
2026-04-11T13:24:21.487317+00:00,1775913861.487324,6.994251183366,0,0.0,2.468455204728366e-07,3
2026-04-11T13:24:38.130800+00:00,1775913878.130833,6.994248005866,0,0.0,7.011470793319076e-07,4
2026-04-11T13:24:54.650724+00:00,1775913894.650731,6.994246212866,0,0.0,9.57500405860679e-07,6
2026-04-11T13:25:10.073632+00:00,1775913910.073641,6.994246212866,0,0.0,9.57500405860679e-07,6
2026-04-11T13:25:25.493846+00:00,1775913925.493854,6.994246212866,0,0.0,9.57500405860679e-07,6
2026-04-11T13:25:42.141731+00:00,1775913942.141739,6.994245334466,0,0.0,1.0830892301666249e-06,7
2026-04-11T13:25:57.562847+00:00,1775913957.562857,6.994240607966,0,0.0,1.7588583310532574e-06,9
2026-04-11T13:26:12.982824+00:00,1775913972.982831,6.994234895966,0,0.0,2.5755288280615667e-06,10
2026-04-11T13:26:29.643603+00:00,1775913989.643611,6.994227051466,0,0.0,3.697092503394649e-06,12
2026-04-11T13:26:46.270640+00:00,1775914006.270654,6.994214767966,0,0.0,5.453320103191375e-06,14
2026-04-11T13:27:02.809627+00:00,1775914022.809639,6.994201326966,0,0.0,7.375040717592675e-06,15
2026-04-11T13:27:19.441707+00:00,1775914039.441716,6.994197201966,0,0.0,7.964810640614024e-06,16
2026-04-11T13:27:36.010900+00:00,1775914056.010911,6.994186750966,0,0.0,9.459037420114659e-06,18
2026-04-11T13:27:51.434829+00:00,1775914071.434837,6.994168593466,0,0.0,1.2055097390143434e-05,20
2026-04-11T13:28:06.855286+00:00,1775914086.855297,6.994168593466,0,-6.699999999999999e-06,1.2055097390143434e-05,20
